t	1e9*scaling*thickness	stress_comp*1e-6	stress_comp*scaling*thickness	0.5*stress_tensile*1e-6	stress_tensile*scaling*thickness	area	coverage	stress-thickness	stress
4.737241	0.015801	-373.314670	-0.005899	0.000000	0.000000	640000.042152	0.006392	-0.005899	-63.014826
4.778520	0.016343	-370.148172	-0.006049	0.000000	0.000000	640000.042152	0.006560	-0.006049	-62.480328
4.847495	0.017287	-364.966492	-0.006309	0.000000	0.000000	640000.042152	0.006844	-0.006309	-61.605670
4.864100	0.017517	-363.818914	-0.006373	0.000000	0.000000	640000.042152	0.006914	-0.006373	-61.411961
4.939663	0.018611	-358.357862	-0.006669	0.000000	0.000000	640000.042152	0.007238	-0.006669	-60.490145
4.948152	0.018734	-357.943639	-0.006706	0.000000	0.000000	640000.042152	0.007275	-0.006706	-60.420225
4.955331	0.018839	-357.595675	-0.006737	0.000000	0.000000	640000.042152	0.007306	-0.006737	-60.361489
5.000802	0.019522	-354.439666	-0.006919	0.000000	0.000000	640000.042152	0.007507	-0.006919	-59.828761
5.034728	0.020041	-352.115876	-0.007057	0.000000	0.000000	640000.042152	0.007658	-0.007057	-59.436509
5.102160	0.021115	-347.397057	-0.007335	0.000000	0.000000	640000.042152	0.007964	-0.007335	-58.639981
5.142560	0.021774	-344.774375	-0.007507	0.000000	0.000000	640000.042152	0.008154	-0.007507	-58.197277
5.207365	0.022871	-340.543331	-0.007788	0.000000	0.000000	640000.042152	0.008460	-0.007788	-57.483085
5.242690	0.023481	-338.408189	-0.007946	0.000000	0.000000	640000.042152	0.008632	-0.007946	-57.122677
5.298242	0.024470	-335.085518	-0.008199	0.000000	0.000000	640000.042152	0.008904	-0.008199	-56.561816
5.373627	0.025870	-330.538095	-0.008551	0.000000	0.000000	640000.042152	0.009287	-0.008551	-55.794220
5.438250	0.027113	-326.739684	-0.008859	0.000000	0.000000	640000.042152	0.009620	-0.008859	-55.153055
5.523600	0.028833	-321.691495	-0.009275	0.000000	0.000000	640000.042152	0.010075	-0.009275	-54.300930
5.576024	0.029919	-318.762395	-0.009537	0.000000	0.000000	640000.042152	0.010360	-0.009537	-53.806503
5.637687	0.031239	-315.347348	-0.009851	0.000000	0.000000	640000.042152	0.010701	-0.009851	-53.230050
5.652149	0.031551	-314.591853	-0.009926	0.000000	0.000000	640000.042152	0.010784	-0.009926	-53.102523
